terms,category,compound,date_added
flyingfishes,nonhuman,FALSE,
forest,nonhuman,FALSE,
forests,nonhuman,FALSE,
fossa,nonhuman,FALSE,
fossae,nonhuman,FALSE,
fossil,nonhuman,FALSE,
fossils,nonhuman,FALSE,
fowl,nonhuman,FALSE,
fowls,nonhuman,FALSE,
fox,nonhuman,FALSE,
foxes,nonhuman,FALSE,
foxhound,nonhuman,FALSE,
foxhounds,nonhuman,FALSE,
frigatebird,nonhuman,FALSE,
frigatebirds,nonhuman,FALSE,
frog,nonhuman,FALSE,
frogs,nonhuman,FALSE,
fungi,nonhuman,FALSE,
fungus,nonhuman,FALSE,
galliform,nonhuman,FALSE,
galliformes,nonhuman,FALSE,
galliforms,nonhuman,FALSE,
gamefowl,nonhuman,FALSE,
gamefowls,nonhuman,FALSE,
gar,nonhuman,FALSE,
gars,nonhuman,FALSE,
gavial,nonhuman,FALSE,
gavials,nonhuman,FALSE,
gayal,nonhuman,FALSE,
gayals,nonhuman,FALSE,
gazelle,nonhuman,FALSE,
gazelles,nonhuman,FALSE,
gecko,nonhuman,FALSE,
geckos,nonhuman,FALSE,
geese,nonhuman,FALSE,
gelding,nonhuman,FALSE,
geldings,nonhuman,FALSE,
geologic,nonhuman,FALSE,
geological,nonhuman,FALSE,
geologically,nonhuman,FALSE,
gerbil,nonhuman,FALSE,
gerbils,nonhuman,FALSE,
gharial,nonhuman,FALSE,
gharials,nonhuman,FALSE,
gibbon,nonhuman,FALSE,
gibbons,nonhuman,FALSE,
gila monster,nonhuman,TRUE,
gila monsters,nonhuman,TRUE,
giraffe,nonhuman,FALSE,
giraffes,nonhuman,FALSE,
goat,nonhuman,FALSE,
goats,nonhuman,FALSE,
goldfish,nonhuman,FALSE,
goldfishes,nonhuman,FALSE,
goose,nonhuman,FALSE,
gopher,nonhuman,FALSE,
gophers,nonhuman,FALSE,
gorilla,nonhuman,FALSE,
gorillas,nonhuman,FALSE,
grasshopper,nonhuman,FALSE,
grasshoppers,nonhuman,FALSE,
greyhound,nonhuman,FALSE,
greyhounds,nonhuman,FALSE,
grouse,nonhuman,FALSE,
grouses,nonhuman,FALSE,
guan,nonhuman,FALSE,
guanaco,nonhuman,FALSE,
guineafowl,nonhuman,FALSE,
guineafowls,nonhuman,FALSE,
gull,nonhuman,FALSE,
gulls,nonhuman,FALSE,
guppies,nonhuman,FALSE,
guppy,nonhuman,FALSE,
haddock,nonhuman,FALSE,
haddocks,nonhuman,FALSE,
halibut,nonhuman,FALSE,
halibuts,nonhuman,FALSE,
hamster,nonhuman,FALSE,
hamsters,nonhuman,FALSE,
hare,nonhuman,FALSE,
hares,nonhuman,FALSE,
harrier,nonhuman,FALSE,
harriers,nonhuman,FALSE,
havanese,nonhuman,FALSE,
havaneses,nonhuman,FALSE,
hawk,nonhuman,FALSE,
hawks,nonhuman,FALSE,
hedgehog,nonhuman,FALSE,
hedgehogs,nonhuman,FALSE,
heifer,nonhuman,FALSE,
heifers,nonhuman,FALSE,
heron,nonhuman,FALSE,
herons,nonhuman,FALSE,
herring,nonhuman,FALSE,
herrings,nonhuman,FALSE,
hippopotamus,nonhuman,FALSE,
hippopotamuses,nonhuman,FALSE,
hookworm,nonhuman,FALSE,
hookworms,nonhuman,FALSE,
hornet,nonhuman,FALSE,
hornets,nonhuman,FALSE,
horse,nonhuman,FALSE,
horses,nonhuman,FALSE,
hound,nonhuman,FALSE,
hounds,nonhuman,FALSE,
hoverflies,nonhuman,FALSE,
hoverfly,nonhuman,FALSE,
howler,nonhuman,FALSE,
howlers,nonhuman,FALSE,
hummingbird,nonhuman,FALSE,
hummingbirds,nonhuman,FALSE,
hyena,nonhuman,FALSE,
hyenas,nonhuman,FALSE,
hyra,nonhuman,FALSE,
hyraces,nonhuman,FALSE,
hyrax,nonhuman,FALSE,
hyraxes,nonhuman,FALSE,
ibex,nonhuman,FALSE,
ibexes,nonhuman,FALSE,
ibis,nonhuman,FALSE,
ibises,nonhuman,FALSE,
iguana,nonhuman,FALSE,
iguanas,nonhuman,FALSE,
impala,nonhuman,FALSE,
impalas,nonhuman,FALSE,
insect,nonhuman,FALSE,
insects,nonhuman,FALSE,
irish settler,nonhuman,TRUE,
irish settler,nonhuman,TRUE,
jackal,nonhuman,FALSE,
jackals,nonhuman,FALSE,
jaguar,nonhuman,FALSE,
jaguars,nonhuman,FALSE,
jay,nonhuman,FALSE,
jays,nonhuman,FALSE,
jellyfish,nonhuman,FALSE,
jellyfishes,nonhuman,FALSE,
jerboa,nonhuman,FALSE,
jerboas,nonhuman,FALSE,
junco,nonhuman,FALSE,
juncos,nonhuman,FALSE,
junglefowl,nonhuman,FALSE,
junglefowls,nonhuman,FALSE,
jupiter,nonhuman,FALSE,
kakapo,nonhuman,FALSE,
kakapos,nonhuman,FALSE,
kangaroo,nonhuman,FALSE,
kangaroos,nonhuman,FALSE,
katydid,nonhuman,FALSE,
katydids,nonhuman,FALSE,
kingfisher,nonhuman,FALSE,
kingfishers,nonhuman,FALSE,
koala,nonhuman,FALSE,
koalas,nonhuman,FALSE,
koi,nonhuman,FALSE,
koodoo,nonhuman,FALSE,
koodoos,nonhuman,FALSE,
krill,nonhuman,FALSE,
krills,nonhuman,FALSE,
kudu,nonhuman,FALSE,
kudus,nonhuman,FALSE,
labradoodle,nonhuman,FALSE,
labradoodles,nonhuman,FALSE,
labrador,nonhuman,FALSE,
labradors,nonhuman,FALSE,
ladybird,nonhuman,FALSE,
ladybirds,nonhuman,FALSE,
ladybug,nonhuman,FALSE,
ladybugs,nonhuman,FALSE,
lamprey,nonhuman,FALSE,
lampreys,nonhuman,FALSE,
landform,nonhuman,FALSE,
landforms,nonhuman,FALSE,
landfowl,nonhuman,FALSE,
landfowls,nonhuman,FALSE,
lark,nonhuman,FALSE,
larks,nonhuman,FALSE,
